Source Name	Sample Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Sex]	Term Source REF	Term Accession Number	Characteristics[Material Type]	Term Source REF	Term Accession Number	Characteristics[cell line]	Factor Value[Spaceflight]	Term Source REF	Term Accession Number	Characteristics[cell type]	Term Source REF	Term Accession Number	Factor Value[Donor Age]	Term Source REF	Term Accession Number	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Time]	Unit	Term Source REF	Term Accession Number	Characteristics[Tissue Source]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Immunopurification Marker]	Protocol REF	Parameter Value[Cell Density]	Unit	Term Source REF	Term Accession Number	Parameter Value[Growth Property]	Term Source REF	Term Accession Number	Parameter Value[Growth Temperature]	Unit	Term Source REF	Term Accession Number	Parameter Value[Gas Composition]	Parameter Value[duration]	Unit	Term Source REF	Term Accession Number	Parameter Value[Culture Vessel]	Protocol REF	Parameter Value[Sample Preservation Method]	Term Source REF	Term Accession Number	Parameter Value[Sample Storage Temperature]	Unit	Term Source REF	Term Accession Number
E-stim YA myobudles, ground control, Day 21 Rep1	GSM9013389	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Enriched CD56+ myoblasts	Ground Control	OSD	https://osdr.nasa.gov/	myoblast	EFO	http://purl.obolibrary.org/obo/CL_0000056	young	PATO	http://purl.obolibrary.org/obo/PATO_0000309	Electric Stimulation	MESH	http://purl.bioontology.org/ontology/MESH/D004558	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vastus Lateralis	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53073	Growth Protocol	CD56+	Treatment Protocol	15000000	cells per milliliter	UO	http://purl.obolibrary.org/obo/UO_0000201	Microfluidic Chip	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5 – 6% CO2	12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	PDMS-based chip	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-20 to -30	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
E-stim YA myobudles, ground control, Day 21 Rep2	GSM9013390	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Enriched CD56+ myoblasts	Ground Control	OSD	https://osdr.nasa.gov/	myoblast	EFO	http://purl.obolibrary.org/obo/CL_0000056	young	PATO	http://purl.obolibrary.org/obo/PATO_0000309	Electric Stimulation	MESH	http://purl.bioontology.org/ontology/MESH/D004558	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vastus Lateralis	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53073	Growth Protocol	CD56+	Treatment Protocol	15000000	cells per milliliter	UO	http://purl.obolibrary.org/obo/UO_0000201	Microfluidic Chip	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5 – 6% CO2	12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	PDMS-based chip	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-20 to -30	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
E-stim YA myobudles, ground control, Day 21 Rep3	GSM9013391	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Enriched CD56+ myoblasts	Ground Control	OSD	https://osdr.nasa.gov/	myoblast	EFO	http://purl.obolibrary.org/obo/CL_0000056	young	PATO	http://purl.obolibrary.org/obo/PATO_0000309	Electric Stimulation	MESH	http://purl.bioontology.org/ontology/MESH/D004558	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vastus Lateralis	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53073	Growth Protocol	CD56+	Treatment Protocol	20000000	cells per milliliter	UO	http://purl.obolibrary.org/obo/UO_0000201	Microfluidic Chip	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5 - 6% CO2	12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	PDMS-based chip	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-20 to -30	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
E-stim OS myobudles, ground control, Day 21 Rep1	GSM9013392	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Enriched CD56+ myoblasts	Ground Control	OSD	https://osdr.nasa.gov/	myoblast	EFO	http://purl.obolibrary.org/obo/CL_0000056	old	PATO	http://purl.obolibrary.org/obo/PATO_0000308	Electric Stimulation	MESH	http://purl.bioontology.org/ontology/MESH/D004558	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vastus Lateralis	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53073	Growth Protocol	CD56+	Treatment Protocol	20000000	cells per milliliter	UO	http://purl.obolibrary.org/obo/UO_0000201	Microfluidic Chip	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5 - 6% CO2	12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	PDMS-based chip	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-20 to -30	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
E-stim OS myobudles, ground control, Day 21 Rep2	GSM9013393	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Enriched CD56+ myoblasts	Ground Control	OSD	https://osdr.nasa.gov/	myoblast	EFO	http://purl.obolibrary.org/obo/CL_0000056	old	PATO	http://purl.obolibrary.org/obo/PATO_0000308	Electric Stimulation	MESH	http://purl.bioontology.org/ontology/MESH/D004558	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vastus Lateralis	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53073	Growth Protocol	CD56+	Treatment Protocol	20000000	cells per milliliter	UO	http://purl.obolibrary.org/obo/UO_0000201	Microfluidic Chip	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5 - 6% CO2	12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	PDMS-based chip	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-20 to -30	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
E-stim OS myobudles, ground control, Day 21 Rep3	GSM9013394	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Enriched CD56+ myoblasts	Ground Control	OSD	https://osdr.nasa.gov/	myoblast	EFO	http://purl.obolibrary.org/obo/CL_0000056	old	PATO	http://purl.obolibrary.org/obo/PATO_0000308	Electric Stimulation	MESH	http://purl.bioontology.org/ontology/MESH/D004558	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vastus Lateralis	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53073	Growth Protocol	CD56+	Treatment Protocol	20000000	cells per milliliter	UO	http://purl.obolibrary.org/obo/UO_0000201	Microfluidic Chip	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5 - 6% CO2	12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	PDMS-based chip	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-20 to -30	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
No E-stim YA myobudles, ground control, Day 21 Rep1	GSM9013395	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Enriched CD56+ myoblasts	Ground Control	OSD	https://osdr.nasa.gov/	myoblast	EFO	http://purl.obolibrary.org/obo/CL_0000056	young	PATO	http://purl.obolibrary.org/obo/PATO_0000309	No Electric Stimulation	OSD	https://osdr.nasa.gov/	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vastus Lateralis	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53073	Growth Protocol	CD56+	Treatment Protocol	15000000	cells per milliliter	UO	http://purl.obolibrary.org/obo/UO_0000201	Microfluidic Chip	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5 - 6% CO2	12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	PDMS-based chip	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-20 to -30	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
No E-stim YA myobudles, ground control, Day 21 Rep2	GSM9013396	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Enriched CD56+ myoblasts	Ground Control	OSD	https://osdr.nasa.gov/	myoblast	EFO	http://purl.obolibrary.org/obo/CL_0000056	young	PATO	http://purl.obolibrary.org/obo/PATO_0000309	No Electric Stimulation	OSD	https://osdr.nasa.gov/	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vastus Lateralis	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53073	Growth Protocol	CD56+	Treatment Protocol	15000000	cells per milliliter	UO	http://purl.obolibrary.org/obo/UO_0000201	Microfluidic Chip	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5 - 6% CO2	12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	PDMS-based chip	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-20 to -30	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
No E-stim YA myobudles, ground control, Day 21 Rep3	GSM9013397	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Enriched CD56+ myoblasts	Ground Control	OSD	https://osdr.nasa.gov/	myoblast	EFO	http://purl.obolibrary.org/obo/CL_0000056	young	PATO	http://purl.obolibrary.org/obo/PATO_0000309	No Electric Stimulation	OSD	https://osdr.nasa.gov/	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vastus Lateralis	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53073	Growth Protocol	CD56+	Treatment Protocol	15000000	cells per milliliter	UO	http://purl.obolibrary.org/obo/UO_0000201	Microfluidic Chip	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5 - 6% CO2	12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	PDMS-based chip	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-20 to -30	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
No E-stim OS myobudles, ground control, Day 21 Rep1	GSM9013398	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	Male	MESH	http://purl.bioontology.org/ontology/MESH/D008297	Cells, Cultured	MESH	http://purl.bioontology.org/ontology/MESH/D002478	Enriched CD56+ myoblasts	Ground Control	OSD	https://osdr.nasa.gov/	myoblast	EFO	http://purl.obolibrary.org/obo/CL_0000056	old	PATO	http://purl.obolibrary.org/obo/PATO_0000308	No Electric Stimulation	OSD	https://osdr.nasa.gov/	21	day	UO	http://purl.obolibrary.org/obo/UO_0000033	Vastus Lateralis	NCIT	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53073	Growth Protocol	CD56+	Treatment Protocol	20000000	cells per milliliter	UO	http://purl.obolibrary.org/obo/UO_0000201	Microfluidic Chip	OSD	https://osdr.nasa.gov/	37	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027	5 - 6% CO2	12	day	UO	http://purl.obolibrary.org/obo/UO_0000033	PDMS-based chip	sample collection	RNALater	NCIT	http://purl.obolibrary.org/obo/NCIT_C63348	-20 to -30	degree Celsius	UO	http://purl.obolibrary.org/obo/UO_0000027
